,exchange,cal_date,is_open,pretrade_date
0,SSE,20231231,0,20231229
1,SSE,20231230,0,20231229
2,SSE,20231229,1,20231228
3,SSE,20231228,1,20231227
4,SSE,20231227,1,20231226
5,SSE,20231226,1,20231225
6,SSE,20231225,1,20231222
7,SSE,20231224,0,20231222
8,SSE,20231223,0,20231222
9,SSE,20231222,1,20231221
10,SSE,20231221,1,20231220
11,SSE,20231220,1,20231219
12,SSE,20231219,1,20231218
13,SSE,20231218,1,20231215
14,SSE,20231217,0,20231215
15,SSE,20231216,0,20231215
16,SSE,20231215,1,20231214
17,SSE,20231214,1,20231213
18,SSE,20231213,1,20231212
19,SSE,20231212,1,20231211
20,SSE,20231211,1,20231208
21,SSE,20231210,0,20231208
22,SSE,20231209,0,20231208
23,SSE,20231208,1,20231207
24,SSE,20231207,1,20231206
25,SSE,20231206,1,20231205
26,SSE,20231205,1,20231204
27,SSE,20231204,1,20231201
28,SSE,20231203,0,20231201
29,SSE,20231202,0,20231201
30,SSE,20231201,1,20231130
31,SSE,20231130,1,20231129
32,SSE,20231129,1,20231128
33,SSE,20231128,1,20231127
34,SSE,20231127,1,20231124
35,SSE,20231126,0,20231124
36,SSE,20231125,0,20231124
37,SSE,20231124,1,20231123
38,SSE,20231123,1,20231122
39,SSE,20231122,1,20231121
40,SSE,20231121,1,20231120
41,SSE,20231120,1,20231117
42,SSE,20231119,0,20231117
43,SSE,20231118,0,20231117
44,SSE,20231117,1,20231116
45,SSE,20231116,1,20231115
46,SSE,20231115,1,20231114
47,SSE,20231114,1,20231113
48,SSE,20231113,1,20231110
49,SSE,20231112,0,20231110
50,SSE,20231111,0,20231110
51,SSE,20231110,1,20231109
52,SSE,20231109,1,20231108
53,SSE,20231108,1,20231107
54,SSE,20231107,1,20231106
55,SSE,20231106,1,20231103
56,SSE,20231105,0,20231103
57,SSE,20231104,0,20231103
58,SSE,20231103,1,20231102
59,SSE,20231102,1,20231101
60,SSE,20231101,1,20231031
61,SSE,20231031,1,20231030
62,SSE,20231030,1,20231027
63,SSE,20231029,0,20231027
64,SSE,20231028,0,20231027
65,SSE,20231027,1,20231026
66,SSE,20231026,1,20231025
67,SSE,20231025,1,20231024
68,SSE,20231024,1,20231023
69,SSE,20231023,1,20231020
70,SSE,20231022,0,20231020
71,SSE,20231021,0,20231020
72,SSE,20231020,1,20231019
73,SSE,20231019,1,20231018
74,SSE,20231018,1,20231017
75,SSE,20231017,1,20231016
76,SSE,20231016,1,20231013
77,SSE,20231015,0,20231013
78,SSE,20231014,0,20231013
79,SSE,20231013,1,20231012
80,SSE,20231012,1,20231011
81,SSE,20231011,1,20231010
82,SSE,20231010,1,20231009
83,SSE,20231009,1,20230928
84,SSE,20231008,0,20230928
85,SSE,20231007,0,20230928
86,SSE,20231006,0,20230928
87,SSE,20231005,0,20230928
88,SSE,20231004,0,20230928
89,SSE,20231003,0,20230928
90,SSE,20231002,0,20230928
91,SSE,20231001,0,20230928
92,SSE,20230930,0,20230928
93,SSE,20230929,0,20230928
94,SSE,20230928,1,20230927
95,SSE,20230927,1,20230926
96,SSE,20230926,1,20230925
97,SSE,20230925,1,20230922
98,SSE,20230924,0,20230922
99,SSE,20230923,0,20230922
100,SSE,20230922,1,20230921
101,SSE,20230921,1,20230920
102,SSE,20230920,1,20230919
103,SSE,20230919,1,20230918
104,SSE,20230918,1,20230915
105,SSE,20230917,0,20230915
106,SSE,20230916,0,20230915
107,SSE,20230915,1,20230914
108,SSE,20230914,1,20230913
109,SSE,20230913,1,20230912
110,SSE,20230912,1,20230911
111,SSE,20230911,1,20230908
112,SSE,20230910,0,20230908
